"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","Celltype"
2.5116201035504e-95,2.52854943904082,0.996,0.547,4.10398724920135e-91,"0","ADAMTS19","AVC"
1.10675171910808e-88,2.19569915252019,1,0.809,1.80843230902259e-84,"0","KCTD12","AVC"
4.90964863352143e-76,1.50412490768707,1,0.897,8.02236586717401e-72,"0","LMO4","AVC"
1.03016176205356e-72,2.69786317588565,0.811,0.203,1.68328431919552e-68,"0","LRRN3","AVC"
5.48410362451091e-69,2.94896712973871,0.674,0.113,8.96102532245083e-65,"0","PLSCR5","AVC"
5.87592869274219e-68,2.86521500227107,0.678,0.127,9.60126748394073e-64,"0","PPP2R2B","AVC"
5.79230856588736e-67,2.81267941975171,0.683,0.133,9.46463219665995e-63,"0","PLPPR4","AVC"
4.54776816154627e-65,1.99100554554837,0.859,0.27,7.4310531759666e-61,"0","CDH11","AVC"
3.10346492872595e-60,2.1291468593299,0.907,0.492,5.07106169353821e-56,"0","WNT5A","AVC"
7.38039455871907e-60,2.05885207826866,0.956,0.585,1.2059564708947e-55,"0","MMD","AVC"
2.20071499568824e-58,1.70112730560087,0.969,0.602,3.59596830295458e-54,"0","CDH3","AVC"
3.67271795381534e-58,6.7347722581493,0.352,0.01,6.00122113653426e-54,"0","CDC20B","AVC"
3.1280466574362e-56,2.57498007338083,0.806,0.31,5.11122823825075e-52,"0","TMEM88","AVC"
3.68058460395241e-56,1.66914142555868,0.982,0.766,6.01407524285824e-52,"0","DPYSL3","AVC"
5.20951112267678e-56,1.71825812972789,0.93,0.477,8.51234117445386e-52,"0","IGDCC3","AVC"
2.79705340604779e-55,3.74280735116022,0.463,0.053,4.57038526548209e-51,"0","EPHA3","AVC"
5.37497106588113e-54,3.116995734559,0.551,0.096,8.78270272164977e-50,"0","NPNT","AVC"
6.91171796389685e-53,2.88093739334528,0.573,0.118,1.12937471530075e-48,"0","LYPD6","AVC"
3.85234592859281e-50,1.48142951683879,0.956,0.696,6.29473324732066e-46,"0","WASF1","AVC"
3.4138339832917e-47,1.70006654934355,0.89,0.499,5.57820472869863e-43,"0","SH3RF2","AVC"
4.49194819946027e-47,1.36342021511892,0.956,0.634,7.33984335791808e-43,"0","PGM5","AVC"
4.74304697983635e-47,1.00875950651709,1,0.952,7.75013876505259e-43,"0","ATP1B1","AVC"
5.40682825047782e-46,3.24373046138915,0.401,0.045,8.83475736128075e-42,"0","LYPD6B","AVC"
2.23591039097685e-45,1.40121284804005,0.956,0.537,3.65347757885618e-41,"0","FREM2","AVC"
4.74469702074324e-45,2.02904595569647,0.722,0.264,7.75283493189445e-41,"0","TENM3","AVC"
2.2923347259704e-44,2.20784124459913,0.639,0.182,3.74567494223563e-40,"0","EPSTI1","AVC"
1.86910267289029e-43,2.17891239071162,0.67,0.207,3.05411376750273e-39,"0","IGFBP7","AVC"
3.05395577898364e-43,1.69642402979475,0.859,0.445,4.99016374285926e-39,"0","JCAD","AVC"
9.96716115475478e-42,2.00595170091495,0.533,0.116,1.62863413268693e-37,"0","PCDH17","AVC"
1.87862335249424e-41,1.91546069140123,0.789,0.348,3.06967055797559e-37,"0","TNFRSF19","AVC"
5.03790070546642e-40,1.66638199556877,0.833,0.411,8.23192975273213e-36,"0","FGF10","AVC"
5.90687445915863e-40,2.07070100911865,0.604,0.177,9.6518328662652e-36,"0","STRA6","AVC"
1.32652297952834e-39,1.33880040861435,0.93,0.657,2.16753854854931e-35,"0","PODXL","AVC"
3.17715402127176e-38,1.7612256499195,0.758,0.308,5.19146967075806e-34,"0","CDKN1C","AVC"
5.87361480945759e-38,3.52858562758478,0.295,0.023,9.5974865986537e-34,"0","PTCHD1","AVC"
2.34950462317505e-37,1.33745140072322,0.885,0.467,3.83909055426804e-33,"0","KCNQ5","AVC"
4.54771353530044e-37,0.994158698309755,0.987,0.802,7.43096391668091e-33,"0","NAV2","AVC"
9.11539523870085e-37,1.98428635248039,0.555,0.157,1.48945558200372e-32,"0","OLFML3","AVC"
6.09845897825621e-36,1.99866461784437,0.612,0.199,9.96488197047064e-32,"0","SPHKAP","AVC"
1.41076455977949e-35,2.47356277455538,0.449,0.096,2.30518929067968e-31,"0","OSBPL10","AVC"
1.51053628794279e-35,2.41662573347437,0.515,0.138,2.46821629449851e-31,"0","MSX1","AVC"
